微博id,发布者,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
I2tBoz0T5,married_beloved,married_beloved:这个香港🇭🇰小姐姐又来了，这次带大家看看网红打卡目的地：摩洛哥，看看这个北非国家有多美！ married_beloved的微博视频  ,无,无,2019-08-16 13:22 ,Android,13,6,0
I2tAS5pO2,新文化网,新文化网:#亚马逊认可并尊重一国两制#【独家！#亚马逊回应T恤事件# ：认可并尊重“一国两制”】针对近期发生的亚马逊平台出现售卖“港独T恤”事件，亚马逊对中新网独家回应称，亚马逊一贯认可并尊重“一国两制”原则，这也是长期以来得到国际社会广泛认可的原则。在我们业务运营的每个国家和地区，我们都持续遵守当地不同的法律法规。http://t.cn/AiTmN4eI ,无,无,2019-08-16 13:21 ,微博 weibo.com,13,3,2
I2tAIyPDq,河南好网民,河南好网民:#5人涉嫌侮辱国旗被香港警方拘捕# 大快人心👏👏👏！海港城“串谋侮辱国旗”者，拘了！ 河南好网民的微博视频  ,无,无,2019-08-16 13:20 ,微博视频,10,1,0
I2tAnjVoY,中国经营报,中国经营报:【香港特区政府拨款191亿元提振经济  支援企业和市民共度时艰】8月15日下午，香港特区政府财政司司长陈茂波召开记者会，宣布了支持企业和市民的措施。陈茂波说，香港经济第二季下行压力显著，近期的情况更为严峻。按照目前的情况和展望估计，政府因而需要将全年实质增长率预测下调到0%至1%。财政司拟推出一系列措施来撑企业、保就业，这些措施预计约为191亿港币，约合人民币171亿元。 http://t.cn/AiHOjZXi ,无,无,2019-08-16 13:20 ,微博 weibo.com,16,8,18
I2tAS5pO2,新文化网,新文化网:#亚马逊认可并尊重一国两制#【独家！#亚马逊回应T恤事件# ：认可并尊重“一国两制”】针对近期发生的亚马逊平台出现售卖“港独T恤”事件，亚马逊对中新网独家回应称，亚马逊一贯认可并尊重“一国两制”原则，这也是长期以来得到国际社会广泛认可的原则。在我们业务运营的每个国家和地区，我们都持续遵守当地不同的法律法规。http://t.cn/AiTmN4eI ,无,无,2019-08-16 13:21 ,微博 weibo.com,13,3,2
I2tAIyPDq,河南好网民,河南好网民:#5人涉嫌侮辱国旗被香港警方拘捕# 大快人心👏👏👏！海港城“串谋侮辱国旗”者，拘了！ 河南好网民的微博视频  ,无,无,2019-08-16 13:20 ,微博视频,10,1,0
I2tAnjVoY,中国经营报,中国经营报:【香港特区政府拨款191亿元提振经济  支援企业和市民共度时艰】8月15日下午，香港特区政府财政司司长陈茂波召开记者会，宣布了支持企业和市民的措施。陈茂波说，香港经济第二季下行压力显著，近期的情况更为严峻。按照目前的情况和展望估计，政府因而需要将全年实质增长率预测下调到0%至1%。财政司拟推出一系列措施来撑企业、保就业，这些措施预计约为191亿港币，约合人民币171亿元。 http://t.cn/AiHOjZXi ,无,无,2019-08-16 13:20 ,微博 weibo.com,16,7,17
I2tAn2jFz,新浪资讯台,新浪资讯台:【香港暴徒悍然袭警，若是在欧美，他们会有多惨？】香港汉奸窜访欧美，乞求外力相助。戳视频了解美英政府处置骚乱现场，会有多么强硬？@小央视频 小央视频的秒拍视频  ,无,无,2019-08-16 13:20 ,微博 weibo.com,9,10,8
I2tAiyuuV,新浪军事,新浪军事:【香港133万人将免交工资税 香港特区政府出台一系列措施纾民困】#香港特区政府将投191亿港元纾民困#15日，香港特区政府公布，特区政府将出台价值191亿港元的“撑企业、保就业、纾民困”措施，包括派发学生津贴、减免政府收费、免除公屋住户一个月租金等。最重要的措施是减免薪俸税等税务宽免百分比，2019年香港133万人将免交工资税。（郑兴）@中新视频 #5人涉嫌侮辱国旗被香港警方拘捕# #驻英大使记者会播香港局势短片# #我们都有一个爱豆名字叫阿中# http://t.cn/AiHlXieU ,无,无,2019-08-16 13:19 ,微博 weibo.com,122,34,67
I2tAbuLBq,地球是个大圈圈,地球是个大圈圈:#风景#大美中国，航拍香港好望角 地球是个大圈圈的微博视频  ,无,无,2019-08-16 13:19 ,微博网页,0,0,0
